,Team,Year,Pos.,Salary
787,MIN,2022,OF,1408250
788,MIN,2022,P,700000
789,MIN,2022,RF,8150000
790,MIN,2022,RP,16668200
791,MIN,2022,RP/CL,700000
792,MIN,2022,SP,31299517
793,MIN,2022,SS,37206800
794,MIN,2023,1B,11735650
795,MIN,2023,2B,10220000
796,MIN,2023,C,10741650
797,MIN,2023,CF,19642857
798,MIN,2023,RF,9220000
799,MIN,2023,RP,9589350
800,MIN,2023,RP/CL,4620000
801,MIN,2023,SP,34370900
802,MIN,2023,SS,42908683
803,NYM,2020,1B,1231347
804,NYM,2020,2B,35500000
805,NYM,2020,3B,5367676
806,NYM,2020,C,17762826
807,NYM,2020,CF,6487500
808,NYM,2020,LF,1167463
809,NYM,2020,RF,8000000
810,NYM,2020,RP,27459055
811,NYM,2020,RP/CL,16766666
812,NYM,2020,SP,48327000
813,NYM,2020,SS,1738334
814,NYM,2021,1B,1676775
815,NYM,2021,2B,642251
816,NYM,2021,3B,2100000
817,NYM,2021,C,9298220
818,NYM,2021,CF,8300000
819,NYM,2021,LF,2550000
820,NYM,2021,OF,3550000
821,NYM,2021,RF,12250000
822,NYM,2021,RP,29198500
823,NYM,2021,RP/CL,26666668
824,NYM,2021,SP,93142850
825,NYM,2021,SS,35105701
826,NYM,2022,1B,7400000
827,NYM,2022,2B,3875000
828,NYM,2022,3B,11400000
829,NYM,2022,C,9740000
830,NYM,2022,CF,7700000
831,NYM,2022,DH,7825000
832,NYM,2022,LF,12666666
833,NYM,2022,RF,15750000
834,NYM,2022,RP,23950000
835,NYM,2022,RP/CL,17950000
836,NYM,2022,SP,108133333
837,NYM,2022,SS,34100000
838,NYM,2023,1B,14500000
839,NYM,2023,2B,7250000
840,NYM,2023,3B,1440000
841,NYM,2023,C,8720000
842,NYM,2023,CF,18500000
843,NYM,2023,DH,1500000
844,NYM,2023,LF,17886666
845,NYM,2023,OF,1400000
846,NYM,2023,RF,20750000
847,NYM,2023,RP,20757500
848,NYM,2023,RP/CL,19650000
849,NYM,2023,SP,86083333
850,NYM,2023,SS,35700000
851,NYY,2020,1B,634000
852,NYY,2020,2B,12582800
853,NYY,2020,3B,2475000
854,NYY,2020,C,6579200
855,NYY,2020,CF,20785714
856,NYY,2020,DH,26000000
857,NYY,2020,LF,603100
858,NYY,2020,OF,588100
859,NYY,2020,RF,8500000
860,NYY,2020,RP,46477625
861,NYY,2020,SP,100932000
862,NYY,2020,SS,675500
863,NYY,2021,1B,21200000
864,NYY,2021,2B,12936333
865,NYY,2021,3B,20859500
866,NYY,2021,C,7514500
867,NYY,2021,CF,10785714
868,NYY,2021,DH,29000000
869,NYY,2021,LF,2850000
870,NYY,2021,OF,3259600
871,NYY,2021,RF,16375000
872,NYY,2021,RP,39307300
873,NYY,2021,RP/CL,650000
874,NYY,2021,SP,63890675
875,NYY,2021,SS,4000000
876,NYY,2022,1B,16000000
877,NYY,2022,2B,6950000
878,NYY,2022,3B,18150000
